Date,Open,High,Low,Close,Volume,Symbol,Sector
2019-01-01,86.5,88.0,86.5,87.64,333000.0,HUBC,Power
2019-01-02,86.8,89.0,86.5,88.0,506000.0,HUBC,Power
2019-01-03,88.0,88.9,85.8,86.24,303500.0,HUBC,Power
2019-01-04,86.75,87.65,84.56,85.6,414500.0,HUBC,Power
2019-01-07,86.0,89.79,86.0,89.42,871500.0,HUBC,Power
2019-01-08,89.42,91.25,89.42,91.07,2049500.0,HUBC,Power
2019-01-09,91.0,91.0,90.02,90.71,76000.0,HUBC,Power
2019-01-10,90.16,90.75,89.35,90.0,878500.0,HUBC,Power
2019-01-11,89.8,90.0,88.0,88.79,1733000.0,HUBC,Power
2019-01-14,88.99,90.0,88.99,89.86,323000.0,HUBC,Power
2019-01-15,89.52,90.99,89.5,89.93,387500.0,HUBC,Power
2019-01-16,90.0,90.0,88.1,88.68,104500.0,HUBC,Power
2019-01-17,88.68,89.5,87.99,88.83,1371500.0,HUBC,Power
2019-01-18,88.05,89.76,87.9,89.34,336500.0,HUBC,Power
2019-01-21,89.02,90.49,88.97,89.37,1167500.0,HUBC,Power
2019-01-22,89.38,92.0,89.37,90.94,702000.0,HUBC,Power
2019-01-23,91.48,92.5,91.48,91.99,732000.0,HUBC,Power
2019-01-24,92.95,92.95,90.75,92.01,244000.0,HUBC,Power
2019-01-25,92.5,93.0,90.0,92.54,1690500.0,HUBC,Power
2019-01-28,92.9,93.0,92.35,92.7,390500.0,HUBC,Power
2019-01-29,92.52,93.6,91.98,93.42,2255000.0,HUBC,Power
2019-01-30,93.06,93.9,92.55,92.99,272000.0,HUBC,Power
2019-01-31,93.0,93.5,92.55,93.02,252500.0,HUBC,Power
2019-02-01,93.01,93.5,92.71,93.12,627000.0,HUBC,Power
2019-02-04,93.0,94.6,93.0,94.44,734000.0,HUBC,Power
2019-02-06,94.4,94.95,93.77,94.86,944500.0,HUBC,Power
2019-02-07,94.6,94.8,93.51,94.37,228000.0,HUBC,Power
2019-02-08,94.03,94.03,92.49,92.66,2446000.0,HUBC,Power
2019-02-11,93.0,93.5,92.8,93.23,416500.0,HUBC,Power
2019-02-12,93.02,94.95,93.01,93.98,294500.0,HUBC,Power
2019-02-13,93.98,94.25,93.75,93.78,63500.0,HUBC,Power
2019-02-14,93.11,93.5,92.85,93.39,163000.0,HUBC,Power
2019-02-15,93.0,93.33,92.2,92.49,798500.0,HUBC,Power
2019-02-18,92.5,92.5,90.5,91.94,663500.0,HUBC,Power
2019-02-19,91.26,91.9,91.26,91.64,234500.0,HUBC,Power
2019-02-20,91.0,92.9,90.6,92.07,1516500.0,HUBC,Power
2019-02-21,91.53,92.0,87.47,88.22,3642000.0,HUBC,Power
2019-02-22,87.55,89.2,86.5,88.99,1169500.0,HUBC,Power
2019-02-25,88.02,88.25,87.2,87.38,277500.0,HUBC,Power
2019-02-26,86.51,88.25,86.05,87.27,469500.0,HUBC,Power
2019-02-27,86.9,89.0,83.28,87.41,1029500.0,HUBC,Power
2019-02-28,87.25,87.41,86.5,86.86,693000.0,HUBC,Power
2019-03-01,86.8,88.98,86.8,87.5,611500.0,HUBC,Power
2019-03-04,87.78,88.45,87.0,87.29,416000.0,HUBC,Power
2019-03-05,88.38,88.39,86.26,86.98,137500.0,HUBC,Power
2019-03-06,87.0,87.6,86.0,86.73,365500.0,HUBC,Power
2019-03-07,86.3,86.3,84.9,85.03,230500.0,HUBC,Power
2019-03-08,85.1,85.1,83.01,83.27,596500.0,HUBC,Power
2019-03-11,84.0,84.0,82.5,83.02,688500.0,HUBC,Power
2019-03-12,83.1,83.8,82.01,82.99,400000.0,HUBC,Power
2019-03-13,82.8,84.5,82.8,84.01,556500.0,HUBC,Power
2019-03-14,83.51,84.0,83.2,83.3,98500.0,HUBC,Power
2019-03-15,82.72,83.0,82.0,82.21,432000.0,HUBC,Power
2019-03-18,84.0,84.99,83.5,83.97,685000.0,HUBC,Power
