Date,Open,High,Low,Close,Volume,Symbol,Sector
2019-01-01,430.51,456.4,430.0,455.06,803800.0,LUCK,Cement
2019-01-02,455.1,461.5,432.5,439.36,1525900.0,LUCK,Cement
2019-01-03,437.01,445.89,436.11,442.2,863800.0,LUCK,Cement
2019-01-04,442.0,452.0,433.8,441.71,1159300.0,LUCK,Cement
2019-01-07,447.97,463.79,446.99,461.29,1379700.0,LUCK,Cement
2019-01-08,466.0,475.0,463.0,470.39,1289100.0,LUCK,Cement
2019-01-09,472.0,473.5,460.0,462.13,560200.0,LUCK,Cement
2019-01-10,462.01,464.5,459.01,462.36,372600.0,LUCK,Cement
2019-01-11,462.5,463.01,454.0,458.65,509700.0,LUCK,Cement
2019-01-14,462.0,471.0,461.0,467.68,388400.0,LUCK,Cement
2019-01-15,468.0,471.45,465.0,469.08,427400.0,LUCK,Cement
2019-01-16,469.2,469.2,460.02,461.15,239500.0,LUCK,Cement
2019-01-17,462.0,467.5,452.01,466.37,552800.0,LUCK,Cement
2019-01-18,467.0,467.4,461.5,463.44,312100.0,LUCK,Cement
2019-01-21,463.0,466.0,454.0,455.99,229900.0,LUCK,Cement
2019-01-22,455.0,461.99,453.2,459.22,321200.0,LUCK,Cement
2019-01-23,461.0,464.95,455.4,458.85,307100.0,LUCK,Cement
2019-01-24,478.0,478.0,460.0,468.36,821600.0,LUCK,Cement
2019-01-25,463.6,470.0,462.0,465.19,296600.0,LUCK,Cement
2019-01-28,464.0,471.4,464.0,468.46,300700.0,LUCK,Cement
2019-01-29,466.08,473.0,466.08,470.26,446400.0,LUCK,Cement
2019-01-30,472.0,473.97,467.05,467.82,174800.0,LUCK,Cement
2019-01-31,467.3,473.0,465.0,469.27,464200.0,LUCK,Cement
2019-02-01,465.1,484.0,465.1,480.91,856900.0,LUCK,Cement
2019-02-04,482.0,504.94,482.0,503.54,1454300.0,LUCK,Cement
2019-02-06,504.99,513.0,502.3,503.81,1480900.0,LUCK,Cement
2019-02-07,503.98,503.99,495.31,496.53,422400.0,LUCK,Cement
2019-02-08,498.75,506.89,489.0,491.18,725100.0,LUCK,Cement
2019-02-11,495.1,496.0,475.25,478.31,695800.0,LUCK,Cement
2019-02-12,478.99,499.5,475.52,496.54,932700.0,LUCK,Cement
2019-02-13,502.8,508.0,490.1,493.33,1635200.0,LUCK,Cement
2019-02-14,492.01,493.0,483.0,487.43,603200.0,LUCK,Cement
2019-02-15,487.0,492.55,482.02,485.41,353300.0,LUCK,Cement
2019-02-18,485.15,487.0,473.0,477.26,333800.0,LUCK,Cement
2019-02-19,479.26,484.0,475.0,481.74,627600.0,LUCK,Cement
2019-02-20,485.0,490.0,478.15,488.88,590300.0,LUCK,Cement
2019-02-21,489.0,497.5,486.1,494.35,791600.0,LUCK,Cement
2019-02-22,490.0,497.4,490.0,491.92,204400.0,LUCK,Cement
2019-02-25,489.0,493.0,481.81,482.75,324400.0,LUCK,Cement
2019-02-26,479.0,482.89,464.01,467.22,818300.0,LUCK,Cement
2019-02-27,460.01,473.5,443.86,465.26,1459600.0,LUCK,Cement
