Date,Open,High,Low,Close,Volume,Symbol,Sector
2019-01-01,149.1,157.14,149.01,154.99,492500.0,PPL,Energy
2019-01-02,154.99,158.5,153.0,154.16,832100.0,PPL,Energy
2019-01-03,154.89,155.49,149.31,149.96,436100.0,PPL,Energy
2019-01-04,150.98,152.15,149.45,150.08,875000.0,PPL,Energy
2019-01-07,151.25,157.58,151.25,156.69,2047800.0,PPL,Energy
2019-01-08,158.35,164.52,157.52,164.19,1367900.0,PPL,Energy
2019-01-09,168.0,170.0,163.55,165.71,1836900.0,PPL,Energy
2019-01-10,168.0,173.65,167.8,171.16,2485200.0,PPL,Energy
2019-01-11,172.7,173.0,165.0,171.88,1705500.0,PPL,Energy
2019-01-14,170.0,175.0,170.0,174.66,1084600.0,PPL,Energy
2019-01-15,175.0,183.39,175.0,183.14,5676500.0,PPL,Energy
2019-01-16,182.7,182.7,179.1,180.17,3351300.0,PPL,Energy
2019-01-17,179.5,179.5,175.25,178.82,2411200.0,PPL,Energy
2019-01-18,179.4,180.0,176.8,178.05,1317600.0,PPL,Energy
2019-01-21,180.0,185.87,180.0,182.74,3195000.0,PPL,Energy
2019-01-22,183.18,184.49,180.86,183.81,1250900.0,PPL,Energy
2019-01-23,183.0,185.22,181.41,182.9,1112500.0,PPL,Energy
2019-01-24,184.11,187.5,182.55,185.78,1899900.0,PPL,Energy
2019-01-25,186.97,187.05,184.01,184.66,541000.0,PPL,Energy
2019-01-28,184.99,186.5,183.5,185.05,644800.0,PPL,Energy
2019-01-29,184.25,191.0,183.0,188.68,2596700.0,PPL,Energy
2019-01-30,189.0,190.5,187.02,189.44,1158600.0,PPL,Energy
2019-01-31,190.51,191.5,188.0,189.29,1686700.0,PPL,Energy
2019-02-01,188.6,191.8,188.6,191.39,1185400.0,PPL,Energy
2019-02-04,191.8,194.7,191.17,193.79,1016500.0,PPL,Energy
2019-02-06,193.9,193.9,190.11,191.71,883100.0,PPL,Energy
2019-02-07,191.75,192.72,188.12,189.52,545000.0,PPL,Energy
2019-02-08,189.5,189.7,186.2,187.92,1442600.0,PPL,Energy
2019-02-11,188.22,188.9,185.01,185.81,991600.0,PPL,Energy
2019-02-12,186.0,187.9,185.11,187.67,373700.0,PPL,Energy
2019-02-13,188.0,190.0,187.25,188.03,764200.0,PPL,Energy
2019-02-14,188.0,189.8,188.0,189.29,525500.0,PPL,Energy
2019-02-15,189.5,191.9,188.51,189.78,1747000.0,PPL,Energy
2019-02-18,192.49,192.95,189.01,190.06,881000.0,PPL,Energy
2019-02-19,190.0,190.8,188.51,189.36,268000.0,PPL,Energy
2019-02-20,189.5,189.75,187.7,189.0,2090100.0,PPL,Energy
2019-02-21,190.01,191.51,189.1,189.96,1314100.0,PPL,Energy
2019-02-22,189.0,191.5,188.32,189.92,431300.0,PPL,Energy
2019-02-25,189.92,191.0,187.9,188.12,638800.0,PPL,Energy
2019-02-26,186.0,187.85,180.25,182.85,1602400.0,PPL,Energy
2019-02-27,183.0,186.4,178.0,185.04,2222600.0,PPL,Energy
2019-02-28,186.7,189.9,181.2,184.94,2577600.0,PPL,Energy
2019-03-01,184.14,189.98,184.14,186.0,1963200.0,PPL,Energy
2019-03-04,186.0,186.9,181.1,184.35,461600.0,PPL,Energy
2019-03-05,184.35,185.5,182.1,182.85,371800.0,PPL,Energy
